COMPLAINT_STATUS,COUNTRY,DATE_CLOSED,DISPUTE_RESOLUTION_END_DATE,DISPUTE_RESOLUTION_START_DATE,DOCUMENTS,ELIGIBILITY_END_DATE,ELIGIBILITY_START_DATE,FILING_DATE,HYPERLINK,ISSUES,PROJECT_ID,PROJECT_NAME,PROJECT_NUMBER,PROJECT_TYPE,REGISTRATION_END_DATE,REGISTRATION_START_DATE,SECTOR,YEAR
Active,Pakistan,,,,,, 14 June 2018, 11 June 2018,/projects/49038-001/main,['Substandard reconstruction of road'],Pakistan: Flood Emergency Reconstruction and Resilience Project, Flood Emergency Reconstruction and Resilience Project,49038-001,['LoanTechnical Assistance'], 14 June 2018, 11 June 2018,"Agriculture, natural resources and rural development;Transport",2018
Active,Pakistan,,,,/sites/default/files/page/42458/pak-48289-001-complaint-form.pdf,, 15 May 2018, 10 May 2018,/projects/48289-001/main,"['Business loss/profit', 'Compensation']",Pakistan: Peshawar Sustainable Bus Rapid Transit Corridor Project, Peshawar Sustainable Bus Rapid Transit Corridor Project,48289-001,['Technical Assistance'], 15 May 2018, 10 May 2018,Transport;Water and other urban infrastructure and services,2018
Active,Pakistan,,,,,, 11 April 2018, 6 April 2018,/projects/47281-001/main,"['Land ownership', 'Compensation']",Pakistan: National Highway Network Development in Balochistan Project, National Highway Network Development in Balochistan Project,47281-001,['GrantLoan'], 11 April 2018, 6 April 2018,Transport,2018
Active,Mongolia,,,,/sites/default/files/page/42458/mon-45007-004-complaint-form.pdf,, 2 April 2018, 28 March 2018,https://www.adb.org/projects/45007-004/main,"['Information and consultation', 'Land and property valuation']",Mongolia: Ulaanbaatar Urban Services and Ger Areas Development Investment Program - Tranche 1, Ulaanbaatar Urban Services and Ger Areas Development Investment Program - Tranche 1,45007-004,['GrantLoan'], 2 April 2018, 28 March 2018,Energy;Transport;Water and other urban infrastructure and services,2018
,Georgia,,,,,, 8 March 2018, 8 March 2018,https://www.adb.org/projects/47919-014/main,"['Impacts of the project on the natural and social environment of the village', 'Village safety']",Georgia: Adjaristsqali Hydropower Project, Adjaristsqali Hydropower Project,47919-014,, 8 March 2018, 8 March 2018,Energy,2018
Active,Bangladesh,,,,/sites/default/files/page/42458/ban-44192-016-complaint-form.pdf,, 22 February 2018, 22 February 2018,https://www.adb.org/projects/44192-016/main,"['High voltage transmission line crossing property', 'Health issues']",Bangladesh: SASEC Second Bangladesh-India Electrical Grid Interconnection Project, SASEC Second Bangladesh-India Electrical Grid Interconnection Project,44192-016,['Loan'], 22 February 2018, 22 February 2018,Energy,2018
Active,Armenia,,,,,, 15 February 2018, 12 February 2018,https://www.adb.org/projects/42417-023/main,"['Impact of road construction to property and people’s safety', 'Compensation']",Armenia: Sustainable Urban Development Investment Program - Tranche 1, Sustainable Urban Development Investment Program - Tranche 1,42417-023,['Loan'], 15 February 2018, 12 February 2018,Transport,2018
,Kazakhstan,,,,/sites/default/files/page/42458/kaz-akmola-electricity-distribution-project-complaint-form.pdf,, 15 January 2018, 15 January 2018,https://www.adb.org/projects/46933-014/main,['High cost of new equipment and connection fee to the grid network'],Kazakhstan: Akmola Electricity Distribution Network Modernization and Expansion Project, Akmola Electricity Distribution Network Modernization and Expansion Project,46933-014,, 15 January 2018, 15 January 2018,Energy,2018
,Bangladesh,,,,/sites/default/files/page/42458/ban-ugiip3-af-complaint-letter.pdf,, 27 October 2017, 25 October 2017,,"['Road construction', 'Tree Cutting']",Bangladesh: Third Urban Governance and Infrastructure Improvement (Sector) Project – Additional Financing, Third Urban Governance and Infrastructure Improvement (Sector) Project – Additional Financing,,, 27 October 2017, 25 October 2017,,2017
,Sri Lanka,,,,,, 6 October 2017, 5 October 2017,,"['Alignment of transmission line going through houses and land', 'Health issues']",Sri Lanka: Clean Energy and Network Efficiency Improvement Project, Clean Energy and Network Efficiency Improvement Project,,, 6 October 2017, 5 October 2017,,2017
