IAM,IAM_ID,YEAR,COUNTRY,PROJECT_NAME,PROJECT_ID,PROJECT_NUMBER,RELATED_PROJECT_NUMBER,PROJECT_TYPE,PROJECT_LOAN_AMOUNT,SECTOR,ISSUES,FILERS,FILING_DATE,ENVIRONMENTAL_CATEGORY,COMPLAINT_STATUS,DATE_CLOSED,HYPERLINK,REGISTRATION_START_DATE,REGISTRATION_END_DATE,ELIGIBILITY_START_DATE,ELIGIBILITY_END_DATE,DISPUTE_RESOLUTION_START_DATE,DISPUTE_RESOLUTION_END_DATE,COMPLIANCE_REVIEW_START_DATE,COMPLIANCE_REVIEW_END_DATE,MONITORING_START_DATE,MONITORING_END_DATE,IS_COMPLIANCE_REPORT_ISSUED,DOCUMENTS
ADB-SPF,25,2018,Pakistan, Flood Emergency Reconstruction and Resilience Project,Pakistan: Flood Emergency Reconstruction and Resilience Project,49038-001,,['LoanTechnical Assistance'],,"Agriculture, natural resources and rural development;Transport",['Substandard reconstruction of road'],, 11 June 2018,,Active,,/projects/49038-001/main, 11 June 2018, 14 June 2018, 14 June 2018,,,,,,,,,
ADB-SPF,25,2018,Pakistan, Peshawar Sustainable Bus Rapid Transit Corridor Project,Pakistan: Peshawar Sustainable Bus Rapid Transit Corridor Project,48289-001,,['Technical Assistance'],,Transport;Water and other urban infrastructure and services,"['Business loss/profit', 'Compensation']",, 10 May 2018,,Active,,/projects/48289-001/main, 10 May 2018, 15 May 2018, 15 May 2018,,,,,,,,,/sites/default/files/page/42458/pak-48289-001-complaint-form.pdf
ADB-SPF,25,2018,Pakistan, National Highway Network Development in Balochistan Project,Pakistan: National Highway Network Development in Balochistan Project,47281-001,,['GrantLoan'],,Transport,"['Land ownership', 'Compensation']",, 6 April 2018,,Active,,/projects/47281-001/main, 6 April 2018, 11 April 2018, 11 April 2018,,,,,,,,,
ADB-SPF,25,2018,Mongolia, Ulaanbaatar Urban Services and Ger Areas Development Investment Program - Tranche 1,Mongolia: Ulaanbaatar Urban Services and Ger Areas Development Investment Program - Tranche 1,45007-004,,['GrantLoan'],,Energy;Transport;Water and other urban infrastructure and services,"['Information and consultation', 'Land and property valuation']",, 28 March 2018,,Active,,https://www.adb.org/projects/45007-004/main, 28 March 2018, 2 April 2018, 2 April 2018,,,,,,,,,/sites/default/files/page/42458/mon-45007-004-complaint-form.pdf
ADB-SPF,25,2018,Georgia, Adjaristsqali Hydropower Project,Georgia: Adjaristsqali Hydropower Project,47919-014,,,,Energy,"['Impacts of the project on the natural and social environment of the village', 'Village safety']",, 8 March 2018,,,,https://www.adb.org/projects/47919-014/main, 8 March 2018, 8 March 2018, 8 March 2018,,,,,,,,,
ADB-SPF,25,2018,Bangladesh, SASEC Second Bangladesh-India Electrical Grid Interconnection Project,Bangladesh: SASEC Second Bangladesh-India Electrical Grid Interconnection Project,44192-016,,['Loan'],,Energy,"['High voltage transmission line crossing property', 'Health issues']",, 22 February 2018,,Active,,https://www.adb.org/projects/44192-016/main, 22 February 2018, 22 February 2018, 22 February 2018,,,,,,,,,/sites/default/files/page/42458/ban-44192-016-complaint-form.pdf
ADB-SPF,25,2018,Armenia, Sustainable Urban Development Investment Program - Tranche 1,Armenia: Sustainable Urban Development Investment Program - Tranche 1,42417-023,,['Loan'],,Transport,"['Impact of road construction to property and people’s safety', 'Compensation']",, 12 February 2018,,Active,,https://www.adb.org/projects/42417-023/main, 12 February 2018, 15 February 2018, 15 February 2018,,,,,,,,,
ADB-SPF,25,2018,Kazakhstan, Akmola Electricity Distribution Network Modernization and Expansion Project,Kazakhstan: Akmola Electricity Distribution Network Modernization and Expansion Project,46933-014,,,,Energy,['High cost of new equipment and connection fee to the grid network'],, 15 January 2018,,,,https://www.adb.org/projects/46933-014/main, 15 January 2018, 15 January 2018, 15 January 2018,,,,,,,,,/sites/default/files/page/42458/kaz-akmola-electricity-distribution-project-complaint-form.pdf
ADB-SPF,25,2017,Bangladesh, Third Urban Governance and Infrastructure Improvement (Sector) Project – Additional Financing,Bangladesh: Third Urban Governance and Infrastructure Improvement (Sector) Project – Additional Financing,,,,,,"['Road construction', 'Tree Cutting']",, 25 October 2017,,,,, 25 October 2017, 27 October 2017, 27 October 2017,,,,,,,,,/sites/default/files/page/42458/ban-ugiip3-af-complaint-letter.pdf
ADB-SPF,25,2017,Sri Lanka, Clean Energy and Network Efficiency Improvement Project,Sri Lanka: Clean Energy and Network Efficiency Improvement Project,,,,,,"['Alignment of transmission line going through houses and land', 'Health issues']",, 5 October 2017,,,,, 5 October 2017, 6 October 2017, 6 October 2017,,,,,,,,,
ADB-SPF,25,2017,"
Armenia"," Sustainable Urban Development Investment Program – Tranche 1
","
Armenia: Sustainable Urban Development Investment Program – Tranche 1
",,,,,,"['Impact of road construction to property and people’s safety', 'Compensation']",, 5 September 2017,,,,, 5 September 2017, 6 September 2017, 6 September 2017,,,,,,,,,/sites/default/files/page/42458/arm-sudip-t1-complaint-letter.pdf
ADB-SPF,25,2017,"
Georgia"," Batumi Bypass Road Project
","
Georgia: Batumi Bypass Road Project
",,,,,,"['Property and land valuation', 'Compensation']",, 24 August 2017,,,,, 24 August 2017, 28 August 2017, 28 August 2017,,,,,,,,,/sites/default/files/page/42458/geo-batumi-bypass-road-complaint-form.pdf
ADB-SPF,25,2017,"
Nepal"," Decentralized Rural Infrastructure and Livelihood Project – Additional Financing
","
Nepal: Decentralized Rural Infrastructure and Livelihood Project – Additional Financing
",,,,,,"['Land donation', 'Compensation']",, 22 August 2017,,,,, 22 August 2017, 23 August 2017, 23 August 2017,,,,,,,,,/sites/default/files/page/42458/nep-drilp-af-complaint-form.pdf
ADB-SPF,25,2017,"
Sri Lanka"," Clean Energy and Network Efficiency Improvement Project
","
Sri Lanka: Clean Energy and Network Efficiency Improvement Project
",,,,,,"['Alignment of transmission line differs from the approved path', 'No environmental Study for the new alignment']",, 16 August 2017,,,,, 16 August 2017, 17 August 2017, 17 August 2017,,,,,,,,,/sites/default/files/page/42458/sri-clean-energy-network-efficiency-complaint-form.pdf
ADB-SPF,25,2017,"
Georgia"," MFF-Sustainable Urban Transport Investment Program - Tranche 3
","
Georgia: MFF-Sustainable Urban Transport Investment Program - Tranche 3
",,,,,,"['Loss of business', 'Compensation']",, 14 August 2017,,,,, 14 August 2017, 15 August 2017, 15 August 2017,,,,,,,,,
ADB-SPF,25,2017,"
Georgia"," MFF-Sustainable Urban Transport Investment Program - Tranche 3
","
Georgia: MFF-Sustainable Urban Transport Investment Program - Tranche 3
",,,,,,"['Material harm due to road construction', 'Health issues']",, 10 July 2017,,,,, 10 July 2017, 10 July 2017, 10 July 2017,,,,,,,,,/sites/default/files/page/42458/geo-mff-sustainable-urban-transport-t3.pdf
